fecha_solicitud,tema_solicitud
1,0
1,10
1,15
1,9
1,10
1,31
1,10
1,10
1,28
1,28
1,5
1,2
1,2
1,2
1,2
1,1
1,12
1,12
1,22
1,8
1,24
1,8
1,10
1,10
1,10
1,8
1,12
1,15
1,1
1,7
1,12
1,8
1,17
1,2
1,2
1,15
1,12
1,7
1,10
1,8
1,8
1,9
1,10
1,8
1,0
1,12
1,14
1,2
1,10
1,10
1,10
1,16
1,3
1,8
1,29
1,1
1,9
1,10
1,8
1,9
1,23
1,10
1,7
1,10
1,28
1,31
1,7
1,8
1,5
1,9
1,15
1,6
1,16
1,6
1,6
1,10
1,5
1,8
1,2
1,1
1,22
1,31
1,19
1,10
1,15
1,10
1,10
1,9
1,10
1,2
1,23
1,5
1,2
1,10
1,27
1,7
1,5
1,5
1,12
1,12
1,8
1,10
1,7
1,10
1,30
1,9
1,2
1,2
1,2
1,16
1,3
1,8
1,10
1,6
1,7
1,5
1,10
1,27
1,10
1,8
1,12
1,5
1,10
1,12
1,19
1,7
1,6
1,10
1,9
1,2
1,8
1,24
1,8
1,2
1,7
1,2
1,2
1,12
1,10
1,10
1,28
1,22
1,6
1,12
1,23
1,8
1,10
1,12
1,10
1,12
1,8
1,20
1,13
1,8
1,3
1,6
1,28
1,3
1,7
1,7
1,28
1,15
2,8
2,2
2,6
2,8
2,6
2,10
2,6
2,8
2,6
2,10
2,5
2,12
2,6
2,24
2,2
2,2
2,14
2,0
2,8
2,15
2,6
2,10
2,28
2,10
2,10
2,8
2,15
2,32
2,17
2,0
2,9
2,10
2,9
2,10
2,10
2,28
2,6
2,3
2,12
2,8
2,8
2,10
2,25
2,2
2,15
2,2
2,5
2,8
2,2
2,21
2,8
2,10
2,14
2,5
2,28
2,5
2,6
2,22
2,10
2,10
2,3
2,34
2,22
2,6
2,34
2,10
2,12
2,10
2,6
2,8
2,22
2,10
2,22
2,25
2,10
2,10
2,22
2,2
2,10
2,0
2,20
2,6
2,15
2,19
2,30
2,8
2,10
2,1
2,2
2,15
2,16
2,2
2,21
2,22
2,5
2,10
2,10
2,8
2,5
2,28
2,10
2,10
2,6
2,7
2,9
2,20
2,10
2,2
2,31
2,3
2,2
2,15
2,15
2,10
2,8
2,10
2,6
2,10
2,6
2,13
2,2
2,5
2,10
2,6
2,15
2,10
2,6
2,2
2,27
2,9
2,5
2,10
2,10
2,14
2,23
2,29
2,14
2,6
2,5
2,9
2,9
2,31
2,5
2,10
2,15
2,7
2,5
2,15
2,22
2,8
2,7
2,20
2,5
2,10
2,8
2,20
2,22
2,10
2,9
2,5
2,8
2,23
2,8
2,7
2,10
2,7
2,9
2,5
2,8
2,12
2,12
2,28
2,21
2,6
2,1
2,9
2,37
2,0
2,10
2,2
2,15
2,10
2,10
2,10
2,27
2,10
2,15
2,5
2,10
2,10
2,10
2,12
2,5
2,12
2,10
2,21
2,10
2,10
2,15
2,9
2,13
2,12
2,10
2,22
2,6
2,10
2,5
2,5
2,9
2,20
2,10
2,23
2,6
2,10
2,5
2,6
2,7
2,16
2,10
2,2
2,12
2,0
2,10
2,10
2,22
2,9
2,5
2,2
2,6
2,21
2,6
2,16
2,16
2,22
2,25
2,6
2,6
2,9
2,9
2,8
2,25
2,2
2,6
2,5
2,5
2,8
2,10
2,8
2,10
2,10
2,17
2,6
2,2
2,6
2,2
2,2
2,6
2,8
2,10
2,2
2,5
2,8
2,25
2,25
2,3
2,25
2,8
2,2
2,2
2,5
2,25
2,6
2,25
2,25
2,2
2,8
2,6
2,28
2,25
2,3
2,25
2,6
2,27
2,25
2,28
2,1
2,5
2,11
2,2
2,25
2,13
2,6
2,0
2,6
2,6
2,24
2,8
2,10
2,33
2,10
2,10
2,10
2,9
2,10
2,23
2,10
2,23
2,2
2,25
2,25
2,6
2,5
2,6
2,8
2,2
2,22
2,2
2,12
2,7
2,1
2,8
2,3
2,8
2,28
2,8
2,2
2,2
2,15
2,6
2,10
2,2
2,15
2,17
2,6
2,10
2,2
2,16
2,2
2,28
2,2
2,8
2,2
2,6
2,10
2,6
2,1
2,25
2,2
2,13
2,25
2,22
2,14
2,5
2,6
2,1
2,22
2,22
2,39
2,8
2,2
2,2
2,2
2,2
2,16
2,17
2,10
2,3
2,11
2,8
2,13
2,14
2,5
2,9
2,8
2,9
2,10
2,5
2,25
2,22
2,25
2,25
2,10
2,13
2,25
2,28
2,25
2,16
2,25
2,28
2,22
2,6
2,10
2,2
2,13
2,10
2,8
2,28
2,22
2,7
2,8
2,13
2,28
2,8
2,10
2,20
2,19
2,19
2,15
2,5
2,28
2,3
2,9
2,9
2,12
2,9
2,8
2,12
2,31
2,2
2,2
2,24
2,2
2,16
2,25
2,25
2,2
2,2
2,8
2,25
2,25
2,3
2,2
2,2
2,6
2,5
2,5
2,5
2,9
2,9
2,8
2,6
2,10
